"distance.p1_30_a","instensity.p1_30_a","distance.p2_30_a","instensity.p2_30_a","distance.p3_atyp1","instensity.p3_atyp1","distance.p4_atyp2","instensity.p4_atyp2"
12.851,19.639,12.636,89.014,13.452,85.542,13.727,53.903
12.936,21.486,12.72,97.167,13.541,79.222,13.818,57.514
13.021,23.361,12.803,95.167,13.63,77.514,13.909,60.792
13.106,23.597,12.887,89.986,13.719,83.264,14,57.208
13.191,23.736,12.971,88.653,13.808,85.611,14.091,48.681
13.277,24.194,13.054,89.986,13.898,88.917,14.182,38.083
13.362,24.972,13.138,89.389,13.987,94.028,14.273,33.708
13.447,25.042,13.222,89.111,14.076,97.75,14.364,31.347
13.532,25.458,13.305,88.764,14.165,98.694,14.455,31.514
13.617,27.917,13.389,92.111,14.254,100.736,14.545,31.847
13.702,26.639,13.473,89.028,14.343,103.569,14.636,30.431
13.787,25.111,13.556,85.125,14.432,111.847,14.727,31.25
13.872,25.236,13.64,87.25,14.521,119.472,14.818,32.458
13.957,29.431,13.724,93.014,14.61,120.167,14.909,30.597
14.043,30.875,13.808,98.736,14.699,123.681,15,28.264
14.128,31.028,13.891,100.736,14.788,130.333,15.091,25.083
14.213,29.986,13.975,99.583,14.878,139.569,15.182,25.5
14.298,30.75,14.059,97.681,14.967,148.194,15.273,25.111
14.383,33.833,14.142,95.125,15.056,149.153,15.364,27.917
14.468,33.889,14.226,93.847,15.145,155.208,15.455,27.931
14.553,34.708,14.31,90.444,15.234,155.403,15.545,26.722
14.638,38.472,14.393,94.417,15.323,161.736,15.636,25.792
14.723,40.069,14.477,93.778,15.412,162.431,15.727,27
14.809,40.403,14.561,92.861,15.501,163.736,15.818,27.125
14.894,41.056,14.644,95.139,15.59,169.597,15.909,24.5
14.979,40.528,14.728,98.528,15.679,171.875,16,22.042
15.064,40.819,14.812,103.139,15.768,179.139,16.091,23.694
15.149,39.514,14.895,101.667,15.857,187.931,16.182,24
15.234,43.514,14.979,101.764,15.947,193.056,16.273,22.319
15.319,47.681,15.063,96.792,16.036,190.417,16.364,23.069
15.404,49.569,15.146,91.208,16.125,181.514,16.455,25.097
15.489,50.597,15.23,91.764,16.214,171.306,16.545,24.972
15.574,52.944,15.314,98.694,16.303,162.028,16.636,23.708
15.66,57.458,15.397,99.694,16.392,157.806,16.727,19.236
15.745,55.361,15.481,99.111,16.481,156.208,16.818,16.611
15.83,56.903,15.565,105.556,16.57,163.917,16.909,17.819
15.915,57.5,15.649,105.486,16.659,170.694,17,16.347
16,57.292,15.732,103.306,16.748,178.889,17.091,13.167
16.085,57.278,15.816,102.264,16.837,184.097,17.182,11.847
16.17,59.944,15.9,99.403,16.927,185.5,17.273,13.014
16.255,63.194,15.983,97.403,17.016,179.583,17.364,15.958
16.34,67.5,16.067,101.583,17.105,169.931,17.455,17.556
16.426,71.181,16.151,102.444,17.194,164.556,17.545,17.264
16.511,73.875,16.234,97.931,17.283,161.458,17.636,14.653
16.596,70.819,16.318,92.806,17.372,163.069,17.727,12.5
16.681,70.875,16.402,89.889,17.461,167.167,17.818,12.153
16.766,72.903,16.485,94.972,17.55,168.153,17.909,11.972
16.851,77.278,16.569,103.111,17.639,170.667,18,10.944
16.936,80.944,16.653,105.625,17.728,171.917,18.091,10.722
17.021,78.986,16.736,103.111,17.817,172.389,18.182,10.972
17.106,78.431,16.82,103.847,17.906,170.389,18.273,11.389
17.191,80.833,16.904,101.431,17.996,170.514,18.364,12.708
17.277,82.236,16.987,100.306,18.085,172.486,18.455,14.778
17.362,82.25,17.071,102.486,18.174,170.667,18.545,15.875
17.447,85.097,17.155,104.944,18.263,171.278,18.636,15.667
17.532,84.167,17.238,102.028,18.352,172.5,18.727,14.042
17.617,81.375,17.322,102.778,18.441,169.597,18.818,12.458
17.702,79.319,17.406,102.347,18.53,169.597,18.909,12.208
17.787,81.111,17.49,105.292,18.619,164.514,19,12.444
17.872,84.569,17.573,111.042,18.708,163.75,19.091,11.931
17.957,88.944,17.657,117.444,18.797,169.542,19.182,11.069
18.043,97.25,17.741,118.111,18.886,170.792,19.273,11.861
18.128,102.111,17.824,118.625,18.976,173.722,19.364,13.208
18.213,102.917,17.908,120.444,19.065,175.722,19.455,14.333
18.298,100.014,17.992,120.194,19.154,176.847,19.545,13.458
18.383,99.486,18.075,120.931,19.243,177.611,19.636,12.986
18.468,101.903,18.159,124.292,19.332,181.236,19.727,12.708
18.553,103.625,18.243,130.917,19.421,182.792,19.818,13.056
18.638,108.694,18.326,136.958,19.51,182.292,19.909,14.347
18.723,112.611,18.41,133.181,19.599,178.972,20,13.958
18.809,114.375,18.494,127.667,19.688,179.861,20.091,14.431
18.894,116.181,18.577,124.875,19.777,177.208,20.182,14.514
18.979,121.056,18.661,124.778,19.866,177.194,20.273,13.889
19.064,120.125,18.745,128.583,19.955,173.778,20.364,13.292
19.149,117.736,18.828,131.083,20.045,169.917,20.455,12.389
19.234,115.833,18.912,134.75,20.134,165.931,20.545,11.75
19.319,119.181,18.996,139.958,20.223,158.556,20.636,11.653
19.404,122.153,19.079,145.736,20.312,153.056,20.727,12.625
19.489,122.264,19.163,149.917,20.401,150.778,20.818,14.75
